request,latency,mem
epigenomics_9548_entry_0,1.0,1.0
epigenomics_9548_fastqSplit_0,45.23654875872262,98.68450359013165
epigenomics_9548_fastqSplit_1,48.41123104603151,126.20650256191226
epigenomics_9548_filterContams_0,15.963949130004353,62.694743879564285
epigenomics_9548_filterContams_1,20.804906762669923,79.1894662085782
epigenomics_9548_filterContams_2,15.453716250862959,68.34323218399925
epigenomics_9548_filterContams_3,20.56644390242394,51.2120227821607
epigenomics_9548_filterContams_4,20.56089066265432,65.17683448159461
epigenomics_9548_filterContams_5,21.227258762482595,49.62181366758078
epigenomics_9548_filterContams_6,22.370158520162487,56.1941203698711
epigenomics_9548_filterContams_7,17.82778029128425,70.40215538031369
epigenomics_9548_filterContams_8,22.33277039339253,73.79698993773283
epigenomics_9548_filterContams_9,21.94235122915699,80.40605490570155
epigenomics_9548_filterContams_10,21.434665899143624,66.09558288387154
epigenomics_9548_filterContams_11,27.4042127722968,66.42956184414571
epigenomics_9548_filterContams_12,20.193277030837447,77.96985649468905
epigenomics_9548_filterContams_13,13.89106250374034,75.86016010308914
epigenomics_9548_filterContams_14,16.63572959808725,74.78258071786951
epigenomics_9548_filterContams_15,18.603854055523982,64.24772518112714
epigenomics_9548_filterContams_16,19.14216251924153,58.93103686308148
epigenomics_9548_filterContams_17,20.5181997246098,53.194533087756106
epigenomics_9548_filterContams_18,19.675199722318144,57.785181941116676
epigenomics_9548_filterContams_19,20.739387081354643,50.64008710602212
epigenomics_9548_filterContams_20,17.450647785224476,68.82162081411742
epigenomics_9548_filterContams_21,16.52164478976019,65.09052104956388
epigenomics_9548_filterContams_22,20.035306559461432,56.07031715622246
epigenomics_9548_filterContams_23,22.332396440740887,70.97576595137153
epigenomics_9548_filterContams_24,22.332311099862615,76.16000164677536
epigenomics_9548_filterContams_25,24.71472953543367,55.3402510161279
epigenomics_9548_filterContams_26,27.311629364560034,52.71363894531149
epigenomics_9548_filterContams_27,22.366618905270332,51.04172691164701
epigenomics_9548_filterContams_28,26.448321212925592,63.90968153360057
epigenomics_9548_filterContams_29,24.07985878927281,67.52916533893789
epigenomics_9548_filterContams_30,24.28901867958483,71.81131507151018
epigenomics_9548_filterContams_31,17.835679659637147,49.40210221074125
epigenomics_9548_filterContams_32,15.729603029415468,61.32925337232897
epigenomics_9548_filterContams_33,21.190049127532117,56.5850631737473
epigenomics_9548_filterContams_34,23.734496499337734,68.53992549027843
epigenomics_9548_filterContams_35,21.568278065874406,79.19869960987774
epigenomics_9548_filterContams_36,25.16928371942226,56.47348157210256
epigenomics_9548_filterContams_37,21.349742605851873,73.90259694493331
epigenomics_9548_filterContams_38,23.912508163284,64.88822596732578
epigenomics_9548_filterContams_39,19.404931398124575,79.91828783631745
epigenomics_9548_filterContams_40,18.855864216564523,75.05625297482659
epigenomics_9548_filterContams_41,18.7955429737269,66.50275128851465
epigenomics_9548_filterContams_42,25.399018423940113,64.00855971642945
epigenomics_9548_filterContams_43,23.309722057530465,46.557541830539726
epigenomics_9548_filterContams_44,21.305956020074632,66.71628003705995
epigenomics_9548_filterContams_45,15.951726596498204,67.74322015462054
epigenomics_9548_filterContams_46,22.936703051271316,57.398445251929765
epigenomics_9548_filterContams_47,19.102131450527327,62.17166035300761
epigenomics_9548_filterContams_48,22.62163468106764,75.29210898200623
epigenomics_9548_filterContams_49,19.081315697720406,72.43946044001736
epigenomics_9548_filterContams_50,22.845563652053364,63.94925321441766
epigenomics_9548_filterContams_51,18.233736824778116,78.1592220686047
epigenomics_9548_filterContams_52,19.49428487067742,68.66043574244141
epigenomics_9548_filterContams_53,20.95016124635158,90.75056525795745
epigenomics_9548_filterContams_54,20.59185242679449,59.024855774951696
epigenomics_9548_filterContams_55,17.02444603932287,75.44976798123247
epigenomics_9548_filterContams_56,21.91918254586412,73.77284820873088
epigenomics_9548_filterContams_57,21.287677884825136,63.65470999047223
epigenomics_9548_filterContams_58,18.983774949195734,55.52525827822866
epigenomics_9548_filterContams_59,19.819937886869866,73.59716338785447
epigenomics_9548_filterContams_60,23.963742520961528,58.37156350131855
epigenomics_9548_filterContams_61,21.730444069346706,70.94585128406837
epigenomics_9548_filterContams_62,21.190386749538806,72.84560334057237
epigenomics_9548_filterContams_63,23.89671212943582,72.78031371242852
epigenomics_9548_filterContams_64,22.08674979095027,63.53441222962698
epigenomics_9548_filterContams_65,19.58748230038763,61.87691674882123
epigenomics_9548_filterContams_66,23.567715356785826,62.92892273955968
epigenomics_9548_filterContams_67,20.18794619738128,68.39625774848585
epigenomics_9548_filterContams_68,18.314518578676147,70.5033093005738
epigenomics_9548_filterContams_69,20.34833469440414,52.175431660816216
epigenomics_9548_filterContams_70,20.418117641114193,47.515133515984175
epigenomics_9548_filterContams_71,17.94822700563095,52.95971322504514
epigenomics_9548_filterContams_72,17.44724929813638,56.42799081856268
epigenomics_9548_filterContams_73,23.54732073044968,58.69433585189895
epigenomics_9548_filterContams_74,20.261301222345033,70.58887966413667
epigenomics_9548_filterContams_75,24.664461139570626,74.00928607300249
epigenomics_9548_filterContams_76,18.63197045947355,71.8964850549491
