request,latency,mem
epigenomics_8261_entry_0,1.0,1.0
epigenomics_8261_fastqSplit_0,55.83814682137379,108.27620328368232
epigenomics_8261_fastqSplit_1,72.91851807552109,88.87471589357692
epigenomics_8261_filterContams_0,17.1929728300829,65.32119186331198
epigenomics_8261_filterContams_1,17.568764242415014,58.490139140291525
epigenomics_8261_filterContams_2,21.711776271511248,53.458426932393216
epigenomics_8261_filterContams_3,20.66828304370865,74.65481883621892
epigenomics_8261_filterContams_4,22.091835556540833,75.51222547879115
epigenomics_8261_filterContams_5,22.9087097077691,50.6936862083934
epigenomics_8261_filterContams_6,18.965998414612955,65.06112314992592
epigenomics_8261_filterContams_7,20.29071449301301,76.70623218491171
epigenomics_8261_filterContams_8,21.44237137211819,70.10539255264013
epigenomics_8261_filterContams_9,21.84752789772829,65.30469971421634
epigenomics_8261_filterContams_10,16.53441936153006,73.93295465095791
epigenomics_8261_filterContams_11,17.12195667889369,55.73597038989912
epigenomics_8261_filterContams_12,19.517132573003686,78.71446056969145
epigenomics_8261_filterContams_13,20.534870800166072,73.90966036408695
epigenomics_8261_filterContams_14,19.494447549726274,67.10456414082815
epigenomics_8261_filterContams_15,21.961944862723726,47.04409082032166
epigenomics_8261_filterContams_16,18.48969968501843,60.56501490981739
epigenomics_8261_filterContams_17,24.013947666257586,60.71824299572774
epigenomics_8261_filterContams_18,17.236248244783283,85.74599303798193
epigenomics_8261_filterContams_19,20.427133908314648,60.769572857100044
epigenomics_8261_filterContams_20,25.435223164703018,64.97451935139567
epigenomics_8261_filterContams_21,16.627160718415887,61.570303291020885
epigenomics_8261_filterContams_22,22.96032298834719,66.99280494618394
epigenomics_8261_filterContams_23,20.304675065425325,68.3311842948063
epigenomics_8261_filterContams_24,22.00133570962054,45.12309082209761
epigenomics_8261_filterContams_25,19.97028347417883,47.19159174213446
epigenomics_8261_filterContams_26,25.260819703257887,63.10777498207019
epigenomics_8261_filterContams_27,26.986572238146678,54.97421305920695
